id;nev;isco;feor;csalad;tavolsag
53-6051.07;Műszaki vizsgabiztos;3359;3659;jog;2.582
53-1042.00;Anyagmozgatási csoportvezető;3123;3213;muszaki;2.314
39-1014.00;Szabadidős programok vezetője;3423;3722;segito;2.182
53-6031.00;Benzinkutas;5245;5121;ertekesites;2.129
27-4031.00;Operatőr;3521;3145;it;2.063
51-1011.00;Gyártási művezető;3122;3212;muszaki;2.039
47-1011.00;Építőipari művezető;3123;3213;muszaki;2.038
27-3031.00;PR-tanácsadó;2432;2532;penzugy;2.018
49-1011.00;Karbantartási művezető;3123;3213;muszaki;2.012
19-3011.00;Közgazdász;2631;2624;segito;1.999
37-1012.00;Parkfenntartási csoportvezető;6113;6113;agrar;1.997
51-9081.00;Fogtechnikus;3214;3333;apolas;1.981
29-2011.00;Orvosdiagnosztikai laboratóriumi analitikus;3212;3324;apolas;1.958
53-6051.00;Teheráru-felügyelő;3359;3659;jog;1.941
29-2012.00;Orvosi laboratóriumi asszisztens;3212;3324;apolas;1.930
43-5111.00;Áruátvevő, mérlegelő;4321;4131;penzugy;1.914
17-3029.01;Roncsolásmentes anyagvizsgáló;7543;3135;vendeglatas;1.810
21-1012.00;Karriertanácsadó;2423;2523;vezetes;1.759
29-2056.00;Állatorvosi szaksegéd;3240;3341;apolas;1.733
31-1122.00;Szociális gondozó;3412;3511;segito;1.724
13-1121.00;Rendezvényszervező;3332;3631;penzugy;1.724
35-1011.00;Séf;3434;3222;alkotas;1.719
13-1131.00;Adományszervező;2432;2532;penzugy;1.703
43-5032.00;Diszpécser;4323;3161;penzugy;1.703
53-1043.00;Szállítási csoportvezető;3123;3213;muszaki;1.698
13-1081.00;Logisztikai szakértő;2141;3161;muszaki;1.681
27-2022.00;Sportedző;3422;2717;segito;1.678
29-2072.00;Egészségügyi dokumentátor;3252;3322;apolas;1.671
13-1161.01;Keresőmarketing-szakértő;2513;2143;it;1.669
29-2052.00;Gyógyszertári szakasszisztens;3213;3326;apolas;1.668
13-1151.00;Képzési és személyzetfejlesztési szakértő;2424;;vezetes;1.663
19-3051.00;Településtervező;2164;2134;tudomany;1.605
45-1011.00;Mezőgazdasági, erdészeti és halászati termelésirányító;1312;1311;vezetes;1.597
11-9121.01;Klinikai kutatási koordinátor;1223;1413;vezetes;1.594
43-5053.00;Postai válogató;4412;3161;admin;1.594
39-9032.00;Szabadidő-szervező;3423;3722;segito;1.590
27-4014.00;Hangtechnikus;3521;3145;it;1.581
13-1199.07;Biztonságszervezési szakértő;5414;5254;vedelem;1.566
29-2034.00;Röntgenasszisztens;3211;3323;apolas;1.559
51-4191.00;Hőkezelő;3135;3155;muszaki;1.559
13-1081.02;Logisztikai elemző;2141;3161;muszaki;1.543
29-9021.00;Egészségügyi informatikai szakember;3252;3322;apolas;1.537
41-2022.00;Alkatrészértékesítő;5223;5113;ertekesites;1.535
41-9031.00;Értékesítési mérnök;2433;2533;penzugy;1.532
31-9097.00;Vérvételi asszisztens;5329;5229;apolas;1.515
15-2031.00;Operációkutatási elemző;2120;2166;tudomany;1.502
19-5012.00;Munkavédelmi technikus;3257;3331;apolas;1.501
29-2031.00;Kardiológiai szakasszisztens;3259;3339;apolas;1.500
11-2033.00;Adományszervezési menedzser;2432;2532;penzugy;1.498
53-7061.00;Járműtakarító;9122;9114;szolgaltatas;1.495
51-6093.00;Kárpitos;7534;7224;vendeglatas;1.489
43-9021.00;Adatrögzítő;4132;4114;admin;1.489
29-2035.00;MR-asszisztens;3211;3323;apolas;1.487
13-1161.00;Piackutatási elemző;2431;2531;penzugy;1.471
11-9121.00;Kutatás-fejlesztési vezető;1223;1413;vezetes;1.465
27-4011.00;Audiovizuális technikus;3521;3145;it;1.459
43-5071.00;Készletnyilvántartó;4321;4131;penzugy;1.451
49-9071.00;Karbantartó;9622;;szolgaltatas;1.449
11-3031.03;Befektetésialap-kezelő;2412;2511;penzugy;1.439
51-3022.00;Húsdaraboló, csontozó;7511;7111;vendeglatas;1.433
53-7081.00;Hulladékgyűjtő;9611;9211;szolgaltatas;1.428
33-3021.06;Hírszerzési elemző;2422;2522;penzugy;1.426
29-1141.02;Pszichiátriai szakápoló;2221;2231;apolas;1.422
51-9061.00;Minőségellenőr;7543;3135;vendeglatas;1.412
29-2032.00;Szonográfus;3211;3323;apolas;1.404
27-3091.00;Fordító, tolmács;2643;2627;alkotas;1.399
27-3042.00;Műszaki szakíró;2641;2715;alkotas;1.383
53-2011.00;Közforgalmi pilóta;3153;3172;muszaki;1.382
51-7042.00;Famegmunkálógép-kezelő;7523;7222;vendeglatas;1.366
37-1011.00;Takarítószolgálat-vezető;5151;5241;szolgaltatas;1.364
25-4022.00;Könyvtáros;2622;2711;segito;1.362
