item_id;domain;aspect;reverse;english_obs;german_obs;hungarian_obs
1;Agreeableness;Compassion;1;He/She is not interested in other people's problems.;Er/Sie interessiert sich nicht für die Probleme anderer.;Nem érdeklik mások problémái.
2;Agreeableness;Compassion;0;He/She feels others' emotions.;Er/Sie hat ein Gespür für die Gefühle anderer.;Megérzi mások érzelmeit.
3;Agreeableness;Compassion;0;He/She inquires about others' well-being.;Er/Sie erkundigt sich nach dem Wohlbefinden anderer.;Érdeklődik mások jólléte iránt.
4;Agreeableness;Compassion;1;He/She can't be bothered with other's needs.;Die Belange anderer Menschen interessieren ihn/sie nicht.;Nem foglalkozik mások szükségleteivel.
5;Agreeableness;Compassion;0;He/She sympathizes with others' feelings.;Er/Sie kann die Gefühle anderer nachempfinden.;Együtt érez másokkal.
6;Agreeableness;Compassion;1;He/She is indifferent to the feelings of others.;Er/Sie steht den Gefühlen anderer gleichgültig gegenüber.;Közömbös mások érzéseivel szemben.
7;Agreeableness;Compassion;1;He/She takes no time for others.;Er/Sie nimmt sich keine Zeit für andere.;Nem szán időt másokra.
8;Agreeableness;Compassion;0;He/She takes an interest in other people's lives.;Er/Sie interessiert sich für das Leben anderer.;Érdeklődik mások élete iránt.
9;Agreeableness;Compassion;1;He/She doesn't have a soft side.;Ihm/Ihr fehlt eine weiche Seite.;Nincs gyengéd oldala.
10;Agreeableness;Compassion;0;He/She likes to do things for others.;Es bereitet ihm/ihr Freude;etwas für andere zu tun.,Szívesen tesz másokért dolgokat.
11;Agreeableness;Politeness;0;He/She respects authority.;Er/Sie respektiert Autoritäten.;Tiszteli a tekintélyt.
12;Agreeableness;Politeness;1;He/She believes that he/she is better than others.;Er/Sie fühlt sich anderen überlegen.;Azt hiszi, jobb másoknál.
13;Agreeableness;Politeness;0;He/She hates to seem pushy.;Es ist ihm/ihr unangenehm, aufdringlich zu erscheinen.;Utál tolakodónak tűnni.
14;Agreeableness;Politeness;1;He/She takes advantage of others.;Er/Sie nutzt andere aus.;Kihasználja másokat.
15;Agreeableness;Politeness;0;He/She avoids imposing his/her will on others.;Er/Sie vermeidet es, anderen seinen/ihren Willen aufzuzwingen.;Kerüli, hogy másokra erőltesse az akaratát.
16;Agreeableness;Politeness;0;He/She rarely puts people under pressure.;Er/Sie setzt andere nur selten unter Druck.;Ritkán helyez nyomás alá másokat.
17;Agreeableness;Politeness;1;He/She insults people.;Er/Sie beleidigt manchmal andere Leute.;Sérteget másokat.
18;Agreeableness;Politeness;1;He/She seeks conflict.;Er/Sie sucht Streit.;Konfliktust keres.
19;Agreeableness;Politeness;1;He/She loves a good fight.;Er/Sie mag Diskussionen und Auseinandersetzungen.;Szereti az összetűzéseket.
20;Agreeableness;Politeness;1;He/She is out for his/her own personal gain.;Er/Sie schaut auf den persönlichen Vorteil.;A saját hasznára törekszik.
21;Conscientiousness;Industriousness;0;He/She carries out his/her plans.;Er/Sie führt seine/ihre Vorhaben durch.;Végrehajtja a terveit.
22;Conscientiousness;Industriousness;1;He/She wastes his/her time.;Er/Sie verschwendet seine/ihre Zeit.;Pazarolja az idejét.
23;Conscientiousness;Industriousness;1;He/She finds it difficult to get down to work.;Es fällt ihm/ihr schwer, sich an die Arbeit zu machen.;Nehezen áll neki a munkának.
24;Conscientiousness;Industriousness;1;He/She messes things up.;Er/Sie vermasselt manche Dinge einfach.;Összekuszálja a dolgokat.
25;Conscientiousness;Industriousness;0;He/She finishes what he/she starts.;Was er/sie beginnt, bringt er/sie auch zu Ende.;Befejezi, amit elkezdett.
