item_id;domain;facet;reverse;english_obs;german_obs;hungarian_obs
1;Openness to Experience;Aesthetic Appreciation;1;He/she would be quite bored by a visit to an art gallery.;Der Besuch einer Kunstausstellung würde ihn/sie ziemlich langweilen.;Meglehetősen untatná egy képtár meglátogatása.
2;Conscientiousness;Organization;0;He/she cleans his/her office or home quite frequently.;Er/Sie putzt sein/ihr Büro oder zuhause ziemlich oft.;Mind a munkahelyén, mind otthonában rendszeresen ügyel a rendre és tisztaságra.
3;Agreeableness;Forgiveness;0;He/she rarely holds a grudge, even against people who have badly wronged him/her.;Er/Sie hat selten Wut im Bauch, nicht mal gegen Leute, die ihn/sie sehr ungerecht behandelt haben.;Még azokkal szemben sem haragtartó, akik csúnyán megbántották.
4;Extraversion;Social Self-Esteem;0;He/she feels reasonably satisfied with himself/herself overall.;Im Allgemeinen ist er/sie mit sich ziemlich zufrieden.;Alapjában véve úgy érzi, hogy elégedett magával.
5;Emotionality;Fearfulness;0;He/she would feel afraid if he/she had to travel in bad weather conditions.;Er/Sie hätte Angst, wenn er/sie bei schlechten Wetterbedingungen verreisen müsste.;Nyugtalansággal töltené el, ha rossz időjárási körülmények között kellene utazást vállalnia.
6;Honesty-Humility;Sincerity;1;If he/she wants something from a person he/she dislikes, he/she will act very nicely toward that person in order to get it.;Wenn er/sie von einer Person, die er/sie nicht mag, etwas will, verhält er/sie sich dieser Person gegenüber sehr nett um es zu bekommen.;Ha valakitől, akit tulajdonképpen nem is kedvel, akar valamit, célja érdekében képes ehhez a személyhez nagyon kedvesnek lenni.
7;Openness to Experience;Inquisitiveness;0;He/she is interested in learning about the history and politics of other countries.;Er/Sie ist daran interessiert, etwas über die Geschichte und Politik anderer Länder zu lernen.;Érdeklik más országok történelmi és politikai sajátosságai.
8;Conscientiousness;Diligence;0;When working, he/she often sets ambitious goals for himself/herself.;Wenn er/sie arbeitet, setzt er/sie sich oft ehrgeizige Ziele.;A munkájában gyakran tűz ki ambiciózus célokat maga elé.
9;Agreeableness;Gentleness;1;People sometimes say that he/she is too critical of others.;Andere sagen ihm/ihr manchmal, dass er/sie zu kritisch gegenüber anderen ist.;Az ismerősei gyakran állítják, hogy túl kritikus másokhoz.
10;Extraversion;Social Boldness;1;He/she rarely expresses his/her opinions in group meetings.;Bei Gruppentreffen sagt er/sie nur selten seine/ihre Meinung.;Csoportos megbeszéléseken ritkán ad hangot véleményének.
11;Emotionality;Anxiety;0;He/she worries about little things.;Er/Sie kann manchmal nichts dagegen machen, dass er/sie sich über kleine Dinge Sorgen macht.;Néha nem tudja megállni, hogy ne aggodalmaskodjék apróságokon.
12;Honesty-Humility;Fairness;1;If he/she knew that he/she could never get caught, he/she would be willing to steal a million dollars.;Wenn er/sie wüsste, dass er/sie niemals erwischt wird, wäre er/sie bereit, eine Million zu stehlen.;Ha tudná, hogy sosem kapják el, kész lenne egy millió dollárt vagy eurót ellopni.
13;Openness to Experience;Creativity;1;He/she would like a job that requires following a routine rather than being creative.;Er/Sie wünscht sich einen Beruf, der Routine verlangt, anstatt einen, der Kreativität fordert.;Inkább olyan állást szeretne, ahol a rutin a fontos és nem a kreativitás.
14;Conscientiousness;Perfectionism;0;He/she often checks his/her work over repeatedly to find any mistakes.;Oft kontrolliert er/sie seine/ihre Arbeit mehrfach, um alle Fehler zu finden.;Gyakran ismételten is leellenőrzi a munkáját, hogy nincs-e mégis hiba benne.
15;Agreeableness;Flexibility;1;People sometimes think that he/she is too stubborn.;Andere sagen ihm/ihr manchmal, dass er/sie zu dickköpfig ist.;Az ismerősei néha azt mondják, hogy túlzottan makacs.
16;Extraversion;Sociability;1;"He/she avoids making ""small talk"" with people.";Er/Sie vermeidet es, mit anderen Leuten Small Talk zu halten.;Kerüli az üres társalkodást.
17;Emotionality;Dependence;0;When he/she suffers from a painful experience, he/she needs someone to make him/her feel comfortable.;Wenn er/sie wegen einer schmerzvollen Erfahrung leidet, brauche er/sie jemanden, der ihn/sie tröstet.;Ha valami rossz történt vele, szüksége van valakire, aki megvigasztalja.
18;Honesty-Humility;Greed-Avoidance;0;Having a lot of money is not especially important to him/her.;Viel Geld zu haben ist nicht besonders wichtig für ihn/sie.;Nem igazán fontos neki, hogy sok pénze legyen.
19;Openness to Experience;Unconventionality;1;He/she thinks that paying attention to radical ideas is a waste of time.;Er/Sie denkt, dass es Zeitverschwendung ist, radikalen Ideen Aufmerksamkeit zu schenken.;A radikális nézetekkel való foglalkozás szerinte egyszerűen időpocsékolás.
20;Conscientiousness;Prudence;1;He/she makes decisions based on the feeling of the moment rather than on careful thought.;Er/Sie trifft Entscheidungen eher aus dem Bauch heraus als durch sorgfältiges Nachdenken.;Inkább a pillanatnyi érzelmei, mint a gondos megfontolás vezeti a döntéseiben.
21;Agreeableness;Patience;1;People think of him/her as someone who has a quick temper.;Andere halten ihn/sie für jähzornig.;Az emberek robbanékony természetűnek tartják.
22;Extraversion;Liveliness;0;He/she is energetic nearly all the time.;Er/Sie ist fast immer voller Energie.;Szinte mindig tele van energiával.
23;Emotionality;Sentimentality;0;He/she feels like crying when he/she sees other people crying.;Er/Sie könnte weinen, wenn er/sie andere Personen sieht, die weinen.;Úgy érzi, őt is elkap a sírás, ha másokat sírni lát.
24;Honesty-Humility;Modesty;0;He/she thinks that he/she is an ordinary person who is no better than others.;Er/Sie denkt, dass er/sie eine ganz normale Person ist, die nicht besser ist als andere.;Olyan, mint a többi ember: se jobb, se rosszabb.
25;Openness to Experience;Aesthetic Appreciation;1;He/she wouldn't spend his/her time reading a book of poetry.;Er/Sie würde seine/ihre Zeit nicht damit verbringen, einen Gedichtband zu lesen.;Nem fordítaná az idejét egy verses kötet olvasására.
26;Conscientiousness;Organization;0;He/she plans ahead and organizes things, to avoid scrambling at the last minute.;Er/Sie plant im Voraus und organisiert, damit in letzter Minute kein Zeitdruck aufkommt.;A dolgait előre eltervezi, hogy elkerülje az utolsó percben való kapkodást.
27;Agreeableness;Forgiveness;0;"His/her attitude toward people who have treated him/her badly is ""forgive and forget"".";"Seine/Ihre Einstellung gegenüber Personen, die ihn/sie schlecht behandelt haben, ist ""vergeben und vergessen"".";Ha valaki rosszul bánt vele, képes megbocsátani és a feledés fátylát borítani a történtekre.
