item_id;domain;facet;reverse;english;german;hungarian
1;Openness to Experience;Aesthetic Appreciation;1;I would be quite bored by a visit to an art gallery.;Der Besuch einer Kunstausstellung würde mich ziemlich langweilen.;Meglehetősen untatna egy képtár meglátogatása.
2;Conscientiousness;Organization;0;I clean my office or home quite frequently.;Ich putze mein Büro oder zuhause ziemlich oft.;Mind a munkahelyemen, mind otthonomban rendszeresen ügyelek a rendre és tisztaságra.
3;Agreeableness;Forgiveness;0;I rarely hold a grudge, even against people who have badly wronged me.;Ich habe selten Wut im Bauch, nicht mal gegen Leute, die mich sehr ungerecht behandelt haben.;Még azokkal szemben sem vagyok haragtartó, akik csúnyán megbántottak.
4;Extraversion;Social Self-Esteem;0;I feel reasonably satisfied with myself overall.;Im Allgemeinen bin ich mit mir ziemlich zufrieden.;Alapjában véve úgy érzem, hogy elégedett vagyok magammal.
5;Emotionality;Fearfulness;0;I would feel afraid if I had to travel in bad weather conditions.;Ich hätte Angst, wenn ich bei schlechten Wetterbedingungen verreisen müsste.;Nyugtalansággal töltene el, ha rossz időjárási körülmények között kellene utazást vállalnom.
6;Honesty-Humility;Sincerity;1;If I want something from a person I dislike, I will act very nicely toward that person in order to get it.;Wenn ich von einer Person, die ich nicht mag, etwas will, verhalte ich mich dieser Person gegenüber sehr nett um es zu bekommen.;Ha valakitől akit tulajdonképpen nem is kedvelek akarok valamit, célom érdekében képes vagyok ehhez a személyhez nagyon kedvesnek lenni.
7;Openness to Experience;Inquisitiveness;0;I'm interested in learning about the history and politics of other countries.;Ich bin daran interessiert, etwas über die Geschichte und Politik anderer Länder zu lernen.;Érdekelnek más országok történelmi és politikai sajátosságai.
8;Conscientiousness;Diligence;0;When working, I often set ambitious goals for myself.;Wenn ich arbeite, setze ich mir oft ehrgeizige Ziele.;A munkámban gyakran tűzök ki ambiciózus célokat magam elé.
9;Agreeableness;Gentleness;1;People sometimes tell me that I am too critical of others.;Andere sagen mir manchmal, dass ich zu kritisch gegenüber anderen bin.;Az ismerőseim gyakran állítják, hogy túl kritikus vagyok másokhoz.
10;Extraversion;Social Boldness;1;I rarely express my opinions in group meetings.;Bei Gruppentreffen sage ich nur selten meine Meinung.;Csoportos megbeszéléseken ritkán adok hangot véleményemnek.
11;Emotionality;Anxiety;0;I sometimes can't help worrying about little things.;Ich kann manchmal nichts dagegen machen, dass ich mir über kleine Dinge Sorgen mache.;Néha nem tudom megállni, hogy ne aggodalmaskodjak apróságokon.
12;Honesty-Humility;Fairness;1;If I knew that I could never get caught, I would be willing to steal a million dollars.;Wenn ich wüsste, dass ich niemals erwischt werde, wäre ich bereit, eine Million zu stehlen.;Ha tudnám, hogy sosem kapnak el, kész lennék egy millió dollárt vagy eurót ellopni.
13;Openness to Experience;Creativity;1;I would like a job that requires following a routine rather than being creative.;Ich wünsche mir einen Beruf, der Routine verlangt, anstatt einen, der Kreativität fordert.;Inkább olyan állást szeretnék ahol a rutin a fontos és nem a kreativitás.
14;Conscientiousness;Perfectionism;0;I often check my work over repeatedly to find any mistakes.;Oft kontrolliere ich meine Arbeit mehrfach, um alle Fehler zu finden.;Gyakran ismételten is leellenőrzöm a munkám, hogy nincs-e mégis hiba benne.
15;Agreeableness;Flexibility;1;People sometimes tell me that I'm too stubborn.;Andere sagen mir manchmal, dass ich zu dickköpfig bin.;Az ismerőseim néha azt mondják, hogy túlzottan makacs vagyok.
16;Extraversion;Sociability;1;"I avoid making ""small talk"" with people.";Ich vermeide es, mit anderen Leuten Small Talk zu halten.;Kerülöm az üres társalkodást.
17;Emotionality;Dependence;0;When I suffer from a painful experience, I need someone to make me feel comfortable.;Wenn ich wegen einer schmerzvollen Erfahrung leide, brauche ich jemanden, der mich tröstet.;Ha valami rossz történt velem, szükségem van valakire, aki megvígasztal.
18;Honesty-Humility;Greed-Avoidance;0;Having a lot of money is not especially important to me.;Viel Geld zu haben ist nicht besonders wichtig für mich.;Nem igazán fontos nekem, hogy sok pénzem legyen.
19;Openness to Experience;Unconventionality;1;I think that paying attention to radical ideas is a waste of time.;Ich denke, dass es Zeitverschwendung ist, radikalen Ideen Aufmerksamkeit zu schenken.;A radikális nézetekkel való foglalkozás egyszerűen időpocsékolás.
